Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
164, $424.00 , $-   , $432.00 , $-   , $140.00 , $-   , $996.00 ,82
167," $1,224.00 ", $-   ," $1,782.00 ", $-   , $420.00 , $550.00 ," $3,976.00 ",278
168, $552.00 , $-   , $522.00 , $-   , $196.00 , $100.00 ," $1,370.00 ",107
171, $416.00 , $68.00 , $126.00 , $25.00 , $252.00 , $-   , $887.00 ,73
172, $376.00 , $17.00 , $180.00 , $-   , $56.00 , $50.00 , $679.00 ,61
174, $480.00 , $-   , $486.00 , $25.00 , $224.00 , $-   ," $1,215.00 ",96
175, $472.00 , $51.00 , $288.00 , $-   , $140.00 , $-   , $951.00 ,83
176, $880.00 , $85.00 , $576.00 , $-   , $420.00 , $-   ," $1,961.00 ",162
177, $712.00 , $-   , $630.00 , $-   , $168.00 , $50.00 ," $1,560.00 ",131
181, $544.00 , $17.00 , $198.00 , $25.00 , $168.00 , $-   , $952.00 ,87
182, $488.00 , $-   , $396.00 , $-   , $224.00 , $150.00 ," $1,258.00 ",94
184, $328.00 , $-   , $144.00 , $-   , $140.00 , $-   , $612.00 ,54
187," $1,280.00 ", $102.00 , $810.00 , $50.00 , $504.00 , $150.00 ," $2,896.00 ",234
188, $712.00 , $51.00 , $216.00 , $-   , $196.00 , $-   ," $1,175.00 ",111
189, $800.00 , $17.00 , $684.00 , $-   , $224.00 , $50.00 ," $1,775.00 ",148
191," $1,040.00 ", $34.00 , $792.00 , $-   , $868.00 , $400.00 ," $3,134.00 ",215
192, $480.00 , $34.00 , $342.00 , $-   , $252.00 , $-   ," $1,108.00 ",90
193, $792.00 , $68.00 , $486.00 , $-   , $336.00 , $50.00 ," $1,732.00 ",143
195, $256.00 , $17.00 , $108.00 , $-   , $168.00 , $-   , $549.00 ,45
196, $456.00 , $17.00 , $468.00 , $-   , $336.00 , $100.00 ," $1,377.00 ",98
197, $896.00 , $51.00 , $216.00 , $-   , $784.00 , $50.00 ," $1,997.00 ",156
198, $368.00 , $-   , $378.00 , $-   , $392.00 , $50.00 ," $1,188.00 ",82
199, $280.00 , $17.00 , $180.00 , $75.00 , $-   , $-   , $552.00 ,49
200, $664.00 , $68.00 , $360.00 , $25.00 , $196.00 , $50.00 ," $1,363.00 ",116
205," $1,160.00 ", $-   , $774.00 , $-   , $112.00 , $-   ," $2,046.00 ",192
206," $1,224.00 ", $85.00 ," $1,134.00 ", $-   , $336.00 , $-   ," $2,779.00 ",233
207, $256.00 , $17.00 , $288.00 , $25.00 , $168.00 , $-   , $754.00 ,56
213, $328.00 , $17.00 , $378.00 , $25.00 , $56.00 , $-   , $804.00 ,66
214, $464.00 , $34.00 , $360.00 , $25.00 , $252.00 , $100.00 ," $1,235.00 ",92
215," $1,232.00 ", $34.00 , $612.00 , $25.00 , $448.00 , $50.00 ," $2,401.00 ",208
216, $704.00 , $-   , $414.00 , $-   , $196.00 , $-   ," $1,314.00 ",118
